state,data_portal_rank
Alabama ,43
Alaska ,43
Arizona ,30
Arkansas ,30
California ,11
Colorado ,17
Connecticut ,7
Delaware ,17
Florida ,30
Georgia ,30
Hawaii ,1
Idaho ,30
Illinois ,1
Indiana ,17
Iowa ,17
Kansas ,43
Kentucky ,30
Louisiana ,43
Maine ,17
Maryland ,1
Massachusetts ,43
Michigan ,11
Minnesota ,17
Mississippi ,30
Missouri ,11
Montana ,17
Nebraska ,17
Nevada ,43
New Hampshire ,9
New Jersey ,11
New Mexico ,30
New York ,1
North Carolina ,17
North Dakota ,30
Ohio ,17
Oklahoma ,1
Oregon ,11
Pennsylvania ,30
Rhode Island ,9
South Carolina ,30
South Dakota ,43
Tennessee ,30
Texas ,7
Utah ,1
Vermont ,11
Virginia ,17
Washington ,17
West Virginia ,30
Wisconsin ,17
Wyoming ,43
